Date,AMZN,GOOGL,AAPL,NFLX,MSFT
,AMZN,GOOGL,AAPL,NFLX,MSFT
2022-11-10,96.62999725341797,93.94000244140625,146.8699951171875,274.9700012207031,242.97999572753906
2022-11-11,100.79000091552734,96.41000366210938,149.6999969482422,290.1300048828125,247.11000061035156
2022-11-14,98.48999786376953,95.69999694824219,148.27999877929688,299.2699890136719,241.5500030517578
2022-11-15,98.94000244140625,98.44000244140625,150.0399932861328,310.20001220703125,241.97000122070312
2022-11-16,97.12000274658203,98.8499984741211,148.7899932861328,306.0199890136719,241.72999572753906
2022-11-17,94.8499984741211,98.36000061035156,150.72000122070312,295.2799987792969,241.67999267578125
2022-11-18,94.13999938964844,97.43000030517578,151.2899932861328,287.9800109863281,241.22000122070312
2022-11-21,92.45999908447266,95.5999984741211,148.00999450683594,285.04998779296875,242.0500030517578
2022-11-22,93.19999694824219,97.05000305175781,150.17999267578125,286.69000244140625,245.02999877929688
2022-11-23,94.12999725341797,98.45999908447266,151.07000732421875,291.5,247.5800018310547
2022-11-25,93.41000366210938,97.45999908447266,148.11000061035156,285.5400085449219,247.49000549316406
2022-11-28,93.94999694824219,96.05000305175781,144.22000122070312,281.1700134277344,241.75999450683594
2022-11-29,92.41999816894531,95.19000244140625,141.1699981689453,280.9599914550781,240.3300018310547
2022-11-30,96.54000091552734,100.98999786376953,148.02999877929688,305.5299987792969,255.13999938964844
2022-12-01,95.5,100.98999786376953,148.30999755859375,316.95001220703125,254.69000244140625
2022-12-02,94.12999725341797,100.44000244140625,147.80999755859375,320.4100036621094,255.02000427246094
2022-12-05,91.01000213623047,99.4800033569336,146.6300048828125,312.5899963378906,250.1999969482422
2022-12-06,88.25,96.9800033569336,142.91000366210938,305.55999755859375,245.1199951171875
2022-12-07,88.45999908447266,94.94000244140625,140.94000244140625,308.4200134277344,244.3699951171875
2022-12-08,90.3499984741211,93.70999908447266,142.64999389648438,310.260009765625,247.39999389648438
2022-12-09,89.08999633789062,92.83000183105469,142.16000366210938,320.010009765625,245.4199981689453
